순번,결함유형,점검일자,광역자치단체,기초자치단체,체육시설,시설물명,주소,건물구분,위치구분,점검항목,지적사항,이미지URL,이미지파일이름,이미지확장자,가로해상도,세로해상도
1,기초,2025-09-10,경기도,화성시,전천후게이트볼장,송산게이트볼장,경기도 화성시 송산면 정도길 4,건물 내외부,기초,시설물 기초의 세굴 여부,25하-2 (조치필요) 기초 주변 토사 유실로 기초상부 노출,http://openapi.kspo.or.kr/web/ai/,001_5A93FFFE8246AA51EB4DAC181E11B47C.jpg,jpg,330,248
2,부동침하,2025-08-26,경상남도,남해군,야구장,남해스포츠파크인조야구장,경상남도 남해군 서면 스포츠파크길 74,건물 내외부,지반,지반침하 등에 따른 구조물의 위험 여부,25하-1(조치필요) 필드 바닥 지반침하흔적(2025년 상반기 긴급정밀점검 실시),http://openapi.kspo.or.kr/web/ai/,002_95D0E6873C2D39A5641BB88BE965078C.jpg,jpg,330,248
3,부동침하,2025-05-13,인천광역시,강화군,축구장,길상공설운동장,인천광역시 강화군 길상면 길상로 244,건물 내외부,지반,지반침하 등에 따른 구조물의 위험 여부,25상-2(조치필요) 골대 후면부 지반 침하,http://openapi.kspo.or.kr/web/ai/,003_361AC2BDC6D55BF97D138C5542E125D4.jpg,jpg,338,254
4,부동침하,2025-06-10,경상남도,함양군,체육관,연암체육관,경상남도 함양군 안의면 거함대로 1648,건물 내외부,지반,지반침하 등에 따른 구조물의 위험 여부,25상-1(조치필요) 1층 외부 바닥 경계석 침하,http://openapi.kspo.or.kr/web/ai/,004_4039CEF91CB4E24D017BC7D005BABFA8.jpg,jpg,354,266
5,부동침하,2025-06-10,경상남도,합천군,체육관,청덕체육관,경남 합천군 청덕면 두곡리 368-1,건물 내외부,지반,지반침하 등에 따른 구조물의 위험 여부,25상-1(조치필요) 외부 바닥 지반침하,http://openapi.kspo.or.kr/web/ai/,005_94FAAF696D653E136BF7FE42379B3ACB.jpg,jpg,345,258
6,부동침하,2025-05-20,경상북도,의성군,육상경기장,의성군종합운동장,의성읍 중리리 516,건물 내외부,지반,지반침하 등에 따른 구조물의 위험 여부,25상-1(조치필요) 지반침하 우려 본부석 지상1층 외부,http://openapi.kspo.or.kr/web/ai/,006_DE9B9BF37050F44DDCE367A417596779.jpg,jpg,205,274
7,"균열, 누수",2025-05-19,경기도,포천시,육상경기장,포천종합운동장,경기도 포천시 군내면 호국로 1518,건물 내외부,기둥 보 바닥 벽 계단 (주요구조부),"균열, 누수, 침수, 백태","25상-7(조치필요) 2층 슬래브, 보 누수흔적, 도장박락",http://openapi.kspo.or.kr/web/ai/,007_CF4BCE84662247BBB6711073592E6CD2.jpg,jpg,330,247
8,"균열, 누수",2025-06-25,경기도,김포시,육상경기장,김포시종합운동장,경기도 김포시 돌문로15번길 20 (사우동),건물 내외부,기둥 보 바닥 벽 계단 (주요구조부),"균열, 누수, 침수, 백태",25상-3(조치필요) 1층 계단실 벽체 균열,http://openapi.kspo.or.kr/web/ai/,008_60A927C1745D1352E898893E3DC76A05.jpg,jpg,330,247
9,"균열, 누수",2025-06-12,경기도,안산시,체육관,감골시민홀체육관,사동 1342,건물 내외부,기둥 보 바닥 벽 계단 (주요구조부),"균열, 누수, 침수, 백태","25상-4(조치필요) 1층 외부 난간 벽체 균열, 누수흔적",http://openapi.kspo.or.kr/web/ai/,009_0DD712B749ED5F0F93FC06A9D778478A.jpg,jpg,330,248
10,"균열, 누수",2025-06-09,경상남도,고성군,체육관,고성군 실내체육관,경상남도 고성군 고성읍 교사4길 171-4,건물 내외부,기둥 보 바닥 벽 계단 (주요구조부),"균열, 누수, 침수, 백태",25상-1(조치필요) 지붕층 슬래브 누수흔적,http://openapi.kspo.or.kr/web/ai/,010_99608A66D1EA6AD54AA2A6C05E409322.jpg,jpg,330,248
11,"균열, 누수",2025-05-22,인천광역시,남동구,체육관,인천시청소년수련관체육관,인천광역시 남동구 장수로 42 (장수동),건물 내외부,기둥 보 바닥 벽 계단 (주요구조부),"균열, 누수, 침수, 백태","25상-6(조치필요) 지붕층 계단실 벽체 균열, 누수흔적",http://openapi.kspo.or.kr/web/ai/,011_0212554BA62273B7204AF89177668A53.jpg,jpg,330,248
12,"균열, 누수",2025-07-23,경상남도,김해시,체육관,(취약시설)장유스포츠센터,경상남도 김해시 번화2로 72 (삼문동),건물 내외부,기둥 보 바닥 벽 계단 (주요구조부),"균열, 누수, 침수, 백태","25하-1(조치필요) pit층 벽체 균열, 누수, 백태(다수)",http://openapi.kspo.or.kr/web/ai/,012_12C177BA6E79DEACBC692A838F2651A8.jpg,jpg,330,247
13,"균열, 누수",2025-08-05,충청남도,청양군,체육관,(취약시설)(취약시설)청양군문화체육센터,충청남도 청양군 청양읍 칠갑산로 221,건물 내외부,기둥 보 바닥 벽 계단 (주요구조부),"균열, 누수, 침수, 백태",25상-3(조치필요) 외부 계단 벽체 망상균열,http://openapi.kspo.or.kr/web/ai/,013_D51675C57CE85B032DFFA961B2744456.jpg,jpg,330,248
14,"균열, 누수",2025-07-31,전라남도,해남군,수영장,(취약시설)우슬국민체육센터(구: 우슬국민체육센터수영장),전라남도 해남군 해남읍 해남로 72,건물 내외부,기둥 보 바닥 벽 계단 (주요구조부),"균열, 누수, 침수, 백태","25하-1(조치필요) pit층 상부 구조체 누수, 백태(다수)",http://openapi.kspo.or.kr/web/ai/,014_76635A46D671B4922CD3ED996C9F2241.jpg,jpg,330,248
15,"균열, 누수",2025-07-15,경기도,부천시,수영장,소사국민체육센터 수영장,경기도 부천시 소사로 108 (소사본동),건물 내외부,기둥 보 바닥 벽 계단 (주요구조부),"균열, 누수, 침수, 백태",25하-2(조치필요) pit층 상부 슬래브 균열,http://openapi.kspo.or.kr/web/ai/,015_8620549CC2453A15F5803CB1841559E0.jpg,jpg,329,248
16,"균열, 누수",2025-08-28,경기도,김포시,체육관,김포시실내체육관,경기도 김포시 사우중로 26 (사우동),건물 내외부,기둥 보 바닥 벽 계단 (주요구조부),"균열, 누수, 침수, 백태",25상-3(조치필요) 1층 창고 관람석 하부 보 균열,http://openapi.kspo.or.kr/web/ai/,016_9FE76100B37DBD3CAF27D37186BD6CB7.jpg,jpg,331,248
